id,date,publication,author,headline,items
215,2017-08-23,The Telegraph,Bureau,Cairn raises claim,"retrospective tax, arbitration, Cairn Energy"
216,2017-08-24,Western Times,Bureau,Cairn Energy seeks additional $249 mn compensation from India,"retrospective tax, arbitration, Cairn Energy"
217,2017-08-30,Financial Chronicle,Bureau,Govt slaps Rs 32k cr notice on Hutchison for Vodafone deal,"arbitration, Cairn Energy"
218,2017-08-30,Daily News & Analysis,PTI,Tax dept seeks Rs 32K cr from Hutch on Voda deal,"arbitration, Cairn Energy"
219,2017-08-30,The Asian Age,Bureau,"Hutch gets Rs 32,000cr notice","arbitration, Cairn Energy"
220,2017-08-30,The Indian Express,Bureau,Tax dept seeks over Rs 32K cr from Hutchison,"arbitration, Cairn Energy"
221,2017-08-30,Business Standard,PTI,"Tax dept slaps RS 32,230-cr demand on Hutchison for Vodafone deal","arbitration, Cairn Energy"
222,2017-08-30,Free Press,PTI,"Tax dept seeks Rs 32,320 cr from Hutchison over Vodafone deal","arbitration, Cairn Energy"
223,2017-08-30,The Times Of India,Bureau,"I-T puts Hutch on Rs 32,320 cr notice over Voda deal","arbitration, Cairn Energy"
224,2017-08-30,The Goan,Bureau,"Vodafone deal: Tax Dept seeks Rs 32,320 crore from Hutchison","arbitration, Cairn Energy"
225,2017-08-30,The Political & Business Daily,Bureau,"I-T dept demands Rs 32,320 crore from Hutchison","arbitration, Cairn Energy"
226,2017-08-30,The Pioneer,Bureau,"Tax dept seeks Rs 32,320 cr from Hutchison over Vodafone deal","arbitration, Cairn Energy"
227,2017-08-30,Millennium Post,Bureau,"Tax dept seeks Rs 32,230 cr from Hutchison over Vodafone deal","arbitration, Cairn Energy"
228,2017-08-30,The Hitavada,Bureau,"Tax Deptt seeks Rs 32,320 cr from Hutchison over Vodafone deal","arbitration, Cairn Energy"
229,2017-08-30,Deccan Chronicle,Bureau,"Hutch gets Rs 32,000 notice","arbitration, Cairn Energy"
230,2017-08-30,Hindustan Times,Bureau,"Income tax department seeks Rs 32,320 cr from Hutchison over Vodafone deal in 2007","arbitration, Cairn Energy"
231,2017-08-30,Deccan Chronicle,Bureau,"Hutch gets Rs 32,000cr notice","arbitration, Cairn Energy"
232,2017-08-30,The Hans India,Bureau,"Tax dept seeks Rs 32,320 cr from Hutchison over Vodafone deal","arbitration, Cairn Energy"
233,2017-08-30,The Times Of India,Bureau,Hutch slapped with Rs 32.2k cr tax demand over Voda deal,"arbitration, Cairn Energy"
234,2017-09-02,The Economic Times,PTI,Vedanta Plans to Invest `50k cr to Expand India Biz,"retrospective tax, arbitration, Cairn plc, Cairn Energy"
235,2017-09-02,The Hitavada,Bureau,"Vedanta to invest Rs 50,000 cr in India","retrospective tax, arbitration, Cairn plc, Cairn Energy"
236,2017-09-02,Millennium Post,Associated Press,Vedanta plans to invest Rs50K-cr to expand India biz: Anil Agarwal,"retrospective tax, arbitration, Cairn plc, Cairn Energy"
237,2017-09-03,The Political & Business Daily,Bureau,"Vedanta to invest Rs. 50,000 crore on India business Expansion: Anil Agarwal","retrospective tax, arbitration, Cairn plc, Cairn Energy"
238,2017-09-13,Business Standard, Dev Chatterjee,"Tax dept asks DoCoMo to pay Rs 2,500 cr on Tata Tele award","retrospective tax, arbitration, Cairn plc"
239,2017-09-14,The Financial Express,Editorial,"DoCoMo shock for Abe, shows India unreformed","retrospective tax, arbitration"
240,2017-09-21,Mint,PTI,Final hearing in India tax dispute pushed to August 2018: Cairn,"retrospective tax, arbitration, Cairn Energy"
241,2017-09-21,The Hindu,PTI,Final hearing of India tax row in Aug. 2018: Cairn,"retrospective tax, arbitration, Cairn Energy"
242,2017-09-21,Business Standard,PTI,Final hearing of India tax dispute in Aug 2018: Cairn,"retrospective tax, arbitration, Cairn Energy"
243,2017-09-21,The Financial Express,Bureau,Final hearing of India tax dispute in Aug18: Cairn,"retrospective tax, arbitration, Cairn Energy"
244,2017-09-21,The Telegraph,Bureau,Arabian Sea oil find a boost for ONGC,"retrospective tax, arbitration, Cairn Energy"
245,2017-09-21,The Free Press Journal,Bureau,Final hearing of India tax dispute in August 2018: Cairn,"retrospective tax, arbitration"
246,2017-09-21,Free Press,Bureau,Final hearing of India tax dispute in August 2018: Cairn,"retrospective tax, arbitration"
247,2017-09-21,The Statesman,PTI,Hearing of tax case in Aug 2018: Cairn,"retrospective tax, arbitration, Cairn Energy"
248,2017-09-21,Daily Post,PTI,Final hearing in India tax dispute,"retrospective tax, arbitration, Cairn Energy"
249,2017-09-28,The Financial Express,Editorial,Do we have a GE plan?,arbitration
250,2017-10-19,Business Standard,Bureau,Why Big Oil won't reduce Indias import dependence,arbitration
251,2017-10-30,The Hindu,Bureau,A court to x all investor-state rows?,"arbitration, Cairn Energy"
252,2017-11-20,Financial Chronicle,PTI,Govt stuck with Cairn Energy shares,"retrospective tax, arbitration, Cairn Energy"
253,2017-11-20,Mint,PTI,Taxman not to sell attached Cairn Energy shares to recover tax,"retrospective tax, arbitration, Cairn Energy"
254,2017-11-20,Daily News & Analysis,PTI,Govt not to sell Cairn shares to recover Rs 10k cr tax,"retrospective tax, arbitration, Cairn Energy"
255,2017-11-20,Business Standard,PTI,India not to sell Cairn Energy shares to recover tax,"retrospective tax, arbitration, Cairn Energy"
256,2017-11-20,Hindustan Times,Bureau,Govt not to sell Cairn shares to recover tax,"retrospective tax, arbitration, Cairn Energy"
257,2017-11-20,The Hindu,PTI,Govt. not to sell Cairns shares to recover tax,"retrospective tax, arbitration, Cairn Energy"
258,2017-11-20,The Free Press Journal,Bureau,I-T dept not to sell Cairn Energy shares to recover tax,"retrospective tax, arbitration, Cairn Energy"
259,2017-11-20,The Economic Times,Bureau,I-T Dept Wont Sell Cairn Energy Shares to Recover Tax,"retrospective tax, arbitration, Cairn Energy"
260,2017-11-20,The Times Of India,Bureau,I-T dept not to sell Cairn Energy shares,"retrospective tax, arbitration, Cairn Energy"
261,2017-11-20,The Telegraph,Bureau,Cairn tax case,"retrospective tax, arbitration, Cairn Energy"
262,2017-11-20,Millennium Post,PTI,"India not to sell Cairn Energy shares to recover Rs 10,247 cr tax","retrospective tax, arbitration, Cairn Energy"
263,2017-11-20,The Statesman,PTI,Govt not to sell Cairn shares to recover tax,"retrospective tax, arbitration, Cairn Energy"
264,2017-11-20,The Times Of India,Agencies,I-T dept not to sell Cairn energy  shares,"retrospective tax, arbitration, Cairn Energy"
265,2017-11-20,Afternoon Dispatch & Courier,Bureau,India not to sell Cairn Energy shares to recover tax,"retrospective tax, arbitration, Cairn Energy"
266,2017-11-20,The Indian Express,PTI,I-T dept not to sell Cairn Energy shares,"retrospective tax, arbitration, Cairn Energy"
267,2017-11-20,The Pioneer,Bureau,India not to sell Cairn Energy shares to recover tax,"retrospective tax, arbitration, Cairn Energy"
268,2017-11-20,The Goan,Bureau,"Govt not to sellCairn Energy shares to recover Rs 10,247-cr","retrospective tax, arbitration, Cairn Energy"
269,2017-11-21,The Economic Times,Bureau,Cairn Appoints Vodas Nitin Banerjee as Gen Counsel,arbitration
270,2017-12-03,Deccan Chronicle,Editorial,Nissan case a blot on Indias image,arbitration
271,2017-12-03,The Asian Age,Editorial,Nissan case a blot on Indias image,arbitration
272,2017-12-08,The Financial Express,Editorial,Nissan goes arbitration way,"arbitration, Cairn Energy"
273,2017-12-16,The Financial Express,Bureau,Who decides when litigation is frivolous?,arbitration
274,2017-12-26,Daily News & Analysis,Editorial,A BIT of trouble,"arbitration, Cairn Energy"
